intent,n_rows,smaller_cluster_pct,instruction_predicts_cluster,majority_baseline,lift
complaint,998,39.6,0.978,0.604,0.374
newsletter_subscription,999,43.0,0.94,0.57,0.37
recover_password,994,35.5,0.998,0.645,0.353
get_invoice,906,49.7,0.855,0.503,0.352
delivery_options,658,41.3,0.895,0.587,0.309
check_payment_methods,998,40.9,0.836,0.591,0.244
registration_problems,998,30.4,0.94,0.696,0.244
check_invoice,920,37.4,0.849,0.626,0.223
create_account,889,33.6,0.882,0.664,0.218
payment_issue,998,28.2,0.921,0.718,0.202
contact_human_agent,995,29.1,0.91,0.709,0.201
review,997,42.0,0.771,0.58,0.192
switch_account,851,31.7,0.873,0.683,0.19
delete_account,914,37.5,0.811,0.625,0.186
track_refund,704,23.9,0.946,0.761,0.185
set_up_shipping_address,996,29.0,0.895,0.71,0.185
check_refund_policy,996,25.8,0.925,0.742,0.183
contact_customer_service,998,39.8,0.762,0.602,0.159
change_shipping_address,973,36.2,0.783,0.638,0.145
get_refund,913,36.4,0.765,0.636,0.128
track_order,801,38.8,0.689,0.612,0.077
check_cancellation_fee,949,45.3,0.614,0.547,0.067
place_order,997,23.4,0.814,0.766,0.048
edit_account,767,40.2,0.64,0.598,0.042
cancel_order,484,13.2,0.905,0.868,0.037
change_order,864,10.8,0.917,0.892,0.024
delivery_period,997,10.1,0.899,0.899,0.0
